"","pmse","specks","auc","type","name"
"86","0.215103690428334","0.858399999999971","0.95448368","tree","All"
"87","0.133220468682874","0.752399999999982","0.938161119999996","lasso","All"
"88","0.192891804","0.944799999999961","0.99459864","rf","All"
"89","0.219611519206133","0.919599999999964","0.993730239999994","lr","Mean"
"90","0.220628258955791","0.86799999999997","0.96791728","tree","Mean"
"91","0.217398409083476","0.925599999999963","0.993549919999992","lasso","Mean"
"92","0.1981385888","0.901199999999966","0.989082880000001","rf","Mean"
"93","0.000405986223685258","0.0176","0.499841120000002","lr","Correlation"
"94","0.165173116308532","0.561600000000003","0.86382784","tree","Correlation"
"95","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"96","0.1117011264","0.608799999999998","0.90586168","rf","Correlation"
"97","0.000466873716091683","0.028","0.512684","lr","Control"
"98","0.0730909831089258","0.016","0.50090576","tree","Control"
"99","0.000304685936793912","0.0256","0.511689439999999","lasso","Control"
"100","0.0040870952","0.0336","0.51376104","rf","Control"
"101","0.132983716025996","0.727599999999985","0.931048159999999","lr","All"
"102","0.215059375922784","0.848799999999972","0.95357648","tree","All"
"103","0.11599036463668","0.731199999999985","0.932916799999995","lasso","All"
"104","0.192342396","0.946799999999961","0.995382160000001","rf","All"
"105","0.218693413034128","0.913599999999965","0.992516479999993","lr","Mean"
"106","0.220140656821934","0.873599999999969","0.9698512","tree","Mean"
"107","0.217769741835208","0.920399999999964","0.992458559999996","lasso","Mean"
"108","0.197299928","0.909999999999965","0.98988208","rf","Mean"
"109","0.000685170699194248","0.0164","0.49912256","lr","Correlation"
"110","0.115584869129319","0.552800000000004","0.86101984","tree","Correlation"
"111","6.64610665561553e-05","0.0212","0.504568480000003","lasso","Correlation"
"112","0.1127317528","0.603199999999999","0.90283112","rf","Correlation"
"113","0.000361843296981284","0.0268","0.51114656","lr","Control"
"114","0.0907157347299987","0.0204","0.50523048","tree","Control"
"115","1.20342535352669e-05","0.032","0.509911680000001","lasso","Control"
"116","0.0043810512","0.0264","0.51086448","rf","Control"
"117","0.141795687060828","0.723599999999986","0.931642719999993","lr","All"
"118","0.220390207781518","0.870799999999969","0.96245944","tree","All"
"119","0.140061186905307","0.742399999999984","0.937808959999994","lasso","All"
"120","0.19363964","0.943199999999961","0.99550712","rf","All"
"121","0.219966139376457","0.923199999999964","0.993236959999975","lr","Mean"
"122","0.22196730113762","0.879199999999968","0.97398968","tree","Mean"
"123","0.218378739263451","0.919599999999964","0.992194879999996","lasso","Mean"
"124","0.1975754408","0.923199999999964","0.9928156","rf","Mean"
"125","0.000356975966312387","0.014","0.499784799999998","lr","Correlation"
"126","0.1671292303083","0.558000000000004","0.86837784","tree","Correlation"
"127","0.000332694611879232","0.0424","0.49624992","lasso","Correlation"
"128","0.1145855216","0.624799999999996","0.91183104","rf","Correlation"
"129","0.000224672065216047","0.0192","0.504212800000001","lr","Control"
"130","0.0126286919502443","0.0268","0.489514","tree","Control"
"131","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"132","0.0041647952","0.0272","0.5016484","rf","Control"
"133","0.136409482206137","0.746399999999983","0.935547359999989","lr","All"
"134","0.215124078517194","0.849199999999972","0.95632096","tree","All"
"135","0.133916392914631","0.729999999999985","0.935395039999993","lasso","All"
"136","0.1920687144","0.949199999999961","0.99570504","rf","All"
"137","0.220025714214813","0.918399999999964","0.992724639999996","lr","Mean"
"138","0.21919175906247","0.872799999999969","0.97609816","tree","Mean"
"139","0.216318483239435","0.916799999999964","0.993100959999988","lasso","Mean"
"140","0.1979831328","0.915199999999964","0.99071032","rf","Mean"
"141","0.000279256399567172","0.0172","0.504551200000001","lr","Correlation"
"142","0.163624096435285","0.533200000000007","0.8575724","tree","Correlation"
"143","8.01654452274405e-06","0.0452","0.515528959999999","lasso","Correlation"
"144","0.11207394","0.604399999999999","0.9031904","rf","Correlation"
"145","0.000235655900731683","0.03","0.5089144","lr","Control"
"146","0.037642521405341","0.0216","0.503748","tree","Control"
"147","0.000269085811873839","0.0164","0.494948479999999","lasso","Control"
"148","0.0041622856","0.0168","0.49887944","rf","Control"
"149","0.139279573543707","0.718399999999986","0.93046591999999","lr","All"
"150","0.215906824852414","0.86759999999997","0.96355056","tree","All"
"151","0.138320516837816","0.719599999999986","0.929893919999995","lasso","All"
"152","0.190197584","0.943999999999961","0.995000400000001","rf","All"
"153","0.218516303430254","0.915999999999964","0.992099679999992","lr","Mean"
"154","0.220281442885826","0.871199999999969","0.97222432","tree","Mean"
"155","0.216893563228315","0.916399999999964","0.992421919999966","lasso","Mean"
"156","0.1990843968","0.920799999999964","0.99124008","rf","Mean"
"157","0.000228330411037067","0.0236","0.501877760000001","lr","Correlation"
"158","0.121113037123983","0.571600000000002","0.86926856","tree","Correlation"
"159","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"160","0.1140607712","0.613599999999998","0.907151279999999","rf","Correlation"
