"","pmse_train","specks_train","auc_train","pmse_test","specks_test","auc_test","type","name"
"50","0","4.55364912443912e-18","0.5","0","1.48535697630514e-17","0.5","tree","Control"
"51","0.00022104712087148","0.0406666666666665","0.521082488888886","0.000216108191121232","0.0256","0.49502944","lasso","Control"
"52","0.1005898368","0.999999999999929","1","0.004126412","0.016","0.49597456","rf","Control"
"53","0.0268829042180394","0.441866666666657","0.710944213333335","0.0278267682074986","0.425600000000008","0.699812960000001","lr","All"
"54","0.21873377115653","0.927466666666604","0.984694275555555","0.217333737798809","0.849599999999972","0.96247672","tree","All"
"55","0.0155909328755645","0.386266666666663","0.645145866666662","0.0159664840537653","0.373200000000007","0.6324904","lasso","All"
"56","0.2224268232","0.999999999999929","1","0.192028316","0.940799999999962","0.9944888","rf","All"
"57","0.220072746044109","0.921733333333271","0.993332782222148","0.221250071874342","0.932399999999963","0.993896319999987","lr","Mean"
"58","0.222179570090464","0.93253333333327","0.990371342222222","0.222167843908304","0.86879999999997","0.97453704","tree","Mean"
"59","0.219003386700378","0.925066666666604","0.993579822222193","0.218753372472235","0.923599999999964","0.992576319999979","lasso","Mean"
"60","0.224165974933333","0.999999999999929","1","0.199274664","0.913199999999965","0.990188479999999","rf","Mean"
"61","0.128634534862619","0.62279999999997","0.911048533333318","0.129073616298662","0.621599999999997","0.91083775999999","lr","Correlation"
"62","0.113910631632101","0.62359999999997","0.879506622222222","0.114317775783677","0.578000000000002","0.86153816","tree","Correlation"
"63","0.000114353368052118","0.0347999999999998","0.516600426666669","0.000108701117708533","0.0196","0.50022752","lasso","Correlation"
"64","0.170076830666667","0.999999999999929","1","0.1161935568","0.625599999999996","0.90980624","rf","Correlation"
"65","0.000865596678958101","0.0493333333333331","0.533239199999997","0.000845669148161256","0.0212","0.488239039999999","lr","Control"
"66","0","4.55364912443912e-18","0.5","0","1.48535697630514e-17","0.5","tree","Control"
"67","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"68","0.1009111704","0.999999999999929","1","0.0041875432","0.0204","0.50831488","rf","Control"
"69","0.0259300688990151","0.444933333333323","0.715768284444444","0.0257128179230334","0.443200000000009","0.70453648","lr","All"
"70","0.216036322964305","0.922133333333271","0.981998915555556","0.215206432048841","0.851999999999971","0.95694512","tree","All"
"71","0.0157159406593701","0.377733333333331","0.643293137777778","0.0161447340063907","0.380800000000007","0.638537120000001","lasso","All"
"72","0.221848066666667","0.999999999999929","1","0.1920666512","0.937199999999962","0.994445359999999","rf","All"
"73","0.219643198452556","0.919466666666604","0.993271377777759","0.220234807951315","0.917999999999964","0.993540799999981","lr","Mean"
"74","0.222071351105071","0.93133333333327","0.990685484444444","0.22171769998501","0.882399999999968","0.976364000000001","tree","Mean"
"75","0.217359389604802","0.917333333333271","0.993055448888853","0.21902780034644","0.919999999999964","0.993748799999999","lasso","Mean"
"76","0.2233382568","0.999999999999929","1","0.1990515136","0.916399999999964","0.99107424","rf","Mean"
"77","0.128594712868816","0.623066666666637","0.910568639999981","0.130743271944177","0.617599999999997","0.909480959999999","lr","Correlation"
"78","0.163004690017137","0.774799999999954","0.948096231111111","0.160180652812689","0.522400000000008","0.85426056","tree","Correlation"
"79","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"80","0.170689824533333","0.999999999999929","1","0.1122012536","0.5948","0.90016568","rf","Correlation"
"81","0.000854844605821133","0.0499999999999998","0.532486400000004","0.000926497034289134","0.014","0.501814399999998","lr","Control"
"82","0.000746366586712607","0.0421333333333331","0.526742302222222","0.000696542344454883","0.0056","0.4989324","tree","Control"
"83","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"84","0.100327527466667","0.999999999999929","1","0.0039212272","0.0388","0.51996664","rf","Control"
"85","0.0243648015286169","0.421199999999993","0.698527182222223","0.0241635911190041","0.420000000000008","0.69990944","lr","All"
"86","0.219216150546531","0.92773333333327","0.985033137777778","0.218567227747044","0.86719999999997","0.958472","tree","All"
"87","0.0148888573928066","0.381199999999997","0.644055395555555","0.014879471217306","0.382400000000007","0.640071199999998","lasso","All"
