"","aucs","speckss","pmses","pmse_ratios","synth_type","black_class"
"53",0.651358021474477,0.215552523874489,0.0609718120114759,2.42950105569515,"BLACK_med","black"
"54",0.576474146327415,0.113272311212817,0.00796207885123758,27.0466560773007,"BLACK_med","noblack"
"55",0.779075134610982,0.439290586630284,0.11162111149595,2.34023842565995,"BLACK_bad","black"
"56",0.573261511030586,0.10308924485126,0.00734225684615693,23.5563840271558,"BLACK_bad","noblack"
"57",0.570059130188781,0.159618008185539,0.0339356135310224,1.34395003865839,"noBLACK_med","black"
"58",0.658416490372783,0.233867276887879,0.0240826768152395,77.8289852891126,"noBLACK_med","noblack"
"59",0.577080491132333,0.154160982264666,0.00748680085815989,12.4196347433152,"noBLACK_bad","black"
"60",0.796973684210527,0.466933638443954,0.0791919673673355,5.26797894125509,"noBLACK_bad","noblack"
"61",0.578032492755295,0.16643929058663,0.0415237098889569,1.57716219369749,"good","black"
"62",0.573380849771429,0.0991990846681936,0.00875124025436817,29.0501888867379,"good","noblack"
"63",0.635532274064796,0.186903137789905,0.0575485990768114,2.22291731229897,"BLACK_med","black"
"64",0.570730962878792,0.0983981693363858,0.00773937453804872,24.1368835031495,"BLACK_med","noblack"
"65",0.778816428402592,0.406548431105046,0.108551864595704,2.28387536452309,"BLACK_bad","black"
"66",0.578140188983552,0.10892448512586,0.00824286895661394,29.1241913290346,"BLACK_bad","noblack"
"67",0.578275378799864,0.152796725784447,0.0413512387403757,1.61135124505053,"noBLACK_med","black"
"68",0.655050499033875,0.232837528604126,0.0407655274936558,2.63441649757769,"noBLACK_med","noblack"
"69",0.594638081181636,0.152796725784447,0.0308146977036735,1.17658236701595,"noBLACK_bad","black"
"70",0.79590526472883,0.458237986270041,0.0811000092658225,5.05979476627473,"noBLACK_bad","noblack"
"71",0.596152163919232,0.139154160982265,0.0378914629925743,1.52883323992119,"good","black"
"72",0.582100340893025,0.117391304347828,0.00867026978039005,30.9616712596452,"good","noblack"
"73",0.659953954017298,0.2387448840382,0.0602536846396322,2.30944846410692,"BLACK_med","black"
